Inlet Pressure (bar),Outlet Pressure (bar),Cold Mass Fraction,Nozzle Diameter (mm),Tube Diameter (mm),Tube Length (mm),L/D Ratio,Reynolds Number,Pressure Ratio,Mach Number,Swirl Number,Turbulence Intensity (%),Shock Angle (deg),Shock Location (mm),Maximum Mach,Minimum Pressure (bar),Shock Length (mm),Number of Shocks,Maximum Temperature (K),Cold Exit Temperature (K),Hot Exit Temperature (K),Pressure Drop (bar),Entropy Generation,Shock Intensity,Vorticity (1/s),Helicity(m/s2),Q-Criterion(1/s2),Turbulent Kinetic Energy(m2/s2),Eddy Dissipation Rate(m2/s3),Circulation(m2/s),Swirl Velocity (m/s),Axial Velocity (m/s),Tangential Velocity (m/s),Radial Pressure Gradient (kPa/m),Vortex Core Radius (mm)
7.924,1.068,0.474,2.428,12.971,424.675,32.74,102562,7.417,1.283,0.542,5.291,33.091,196.398,1.59,1.009,19.092,6,445.543,161.551,474.189,7.058,3.453,3.553,938.798,284.735,35002.774,6.474,21.798,3.993,111.004,148.229,175.056,111.676,2.095
2.903,1.759,0.736,2.353,19.726,526.384,26.685,43651,1.65,0.578,1.081,9.816,28.548,156.083,0.481,1.681,26.44,1,335.685,264.411,346.786,1.165,0.981,1.158,866.195,443.084,33741.891,8.612,24.09,6.189,99.209,123.287,143.841,79.472,3.729
5.565,1.286,0.499,1.975,14.985,104.543,6.976,134714,4.328,0.917,1.179,6.777,30.98,59.824,1.113,1.154,21.502,2,391.61,217.811,403.754,4.566,2.369,2.268,1136.985,627.332,39855.644,9.613,31.861,5.816,114.445,119.139,172.193,101.257,3.026
4.285,1.433,0.705,2.294,18.402,792.806,43.081,89364,2.991,0.799,0.45,3.658,30.57,223.274,0.783,1.372,29.345,1,351.227,244.563,374.177,3.072,1.596,1.704,828.209,199.483,32985.164,5.964,20.355,5.873,99.151,133.198,155.218,84.779,3.398
7.819,1.685,0.681,2.722,19.44,354.757,18.249,187350,4.639,0.934,0.632,3.274,31.624,135.908,1.086,1.538,20.637,3,388.632,212.422,409.129,6.541,2.555,2.441,1158.308,356.347,40393.508,9.529,30.512,7.682,111.741,134.898,175.956,95.417,3.18
7.053,1.332,0.446,1.751,16.104,693.666,43.073,240563,5.293,1.063,0.566,5.365,32.259,242.473,1.251,1.226,33.102,3,403.27,198.582,428.025,6.314,2.963,2.824,1315.273,317.563,43517.991,10.575,35.551,7.474,124.374,138.543,186.142,98.439,2.836
7.03,1.057,0.338,1.708,14.587,474.477,32.527,182014,6.653,1.198,0.756,10.459,32.82,198.04,1.453,0.99,25.462,5,427.201,175.371,458.778,6.513,3.431,3.408,1183.515,452.617,40843.399,10.752,33.325,5.982,119.426,141.779,181.932,109.905,2.652
4.812,1.374,0.444,2.481,8.042,191.308,23.788,225125,3.503,0.811,1.216,1.676,31.991,75.428,0.867,1.265,16.819,2,377.302,232.241,384.655,3.798,2.325,1.934,1406.002,777.82,43573.479,10.861,34.821,3.194,133.449,123.326,207.026,94.397,1.074
4.489,1.944,0.696,2.082,8.48,658.296,77.627,129665,2.309,0.716,1.156,3.404,30.392,187.682,0.669,1.844,32.948,1,348.214,251.727,369.928,2.773,1.548,1.535,1083.36,516.771,41759.176,8.372,28.618,3.412,119.922,112.65,185.498,87.816,1.385
3.64,1.642,0.337,0.956,10.41,596.879,57.336,199760,2.217,0.703,1.095,10.825,31.447,148.789,0.586,1.542,28.248,1,347.584,255.849,369.523,2.458,1.747,1.454,1287.542,628.449,42008.837,12.4,39.202,4.85,126.77,119.896,198.683,83.952,1.56
2.338,1.403,0.515,2.763,10.232,469.205,45.856,215469,1.666,0.606,0.308,2.339,26.839,134.513,0.699,1.331,21.695,1,334.997,262.584,344.484,1.356,1.452,1.16,1165.461,158.091,38454.8,7.904,30.46,3.207,109.876,118.415,173.961,71.355,1.627
7.188,1.632,0.684,0.868,11.057,460.187,41.619,186392,4.404,0.944,0.471,7.926,32.794,182.341,1.045,1.547,21.017,2,386.763,216.133,406.827,5.711,2.534,2.23,1134.713,303.544,38885.489,8.989,30.863,3.156,109.328,127.947,164.345,88.631,2.044
6.877,1.199,0.412,2.446,11.659,161.236,13.829,141711,5.736,1.05,0.568,3.349,31.907,118.728,1.258,1.116,26.858,3,409.807,192.089,432.017,5.946,2.862,2.915,1020.062,255.716,37363.249,7.189,25.237,3.936,105.384,141.246,165.121,105.156,2.072
7.998,1.418,0.585,2.469,12.321,559.094,45.378,167690,5.639,1.077,0.626,7.665,29.713,213.135,1.279,1.297,33.672,3,411.558,190.956,429.672,7.014,2.975,2.762,1136.674,339.043,38186.342,9.345,30.796,5.517,116.11,135.132,177.091,104.664,1.98
7.98,1.751,0.347,2.897,13.046,737.872,56.557,184111,4.557,0.953,0.476,5.214,33.321,194.127,1.19,1.581,32.904,2,380.162,216.643,406.822,6.486,2.453,2.339,1132.597,264.295,39112.303,8.733,30.922,6.531,114.1,135.859,178.197,92.018,2.321
5.333,1.101,0.266,0.919,9.186,165.271,17.991,85678,4.842,0.961,0.792,2.118,30.83,101.533,1.281,1.007,20.24,3,393.211,213.267,419.707,4.42,2.396,2.439,880.107,325.202,36809.402,5.644,21.951,1.919,106.863,132.51,163.771,98.192,1.557
6.614,1.278,0.677,2.113,8.508,284.458,33.433,208107,5.176,1.016,0.39,7.407,29.538,127.424,1.214,1.245,21.71,3,404.358,200.685,422.129,5.6,2.9,2.436,1188.612,284.07,37237.05,10.535,30.535,4.352,110.202,142.712,175.119,98.272,1.696
7.669,1.276,0.259,1.741,16.087,731.616,45.478,239071,6.008,1.121,1.2,8.513,36.167,258.182,1.342,1.127,36.306,5,425.285,195.119,444.833,6.94,3.405,3.031,1442.229,808.415,46317.775,12.954,42.29,8.701,131.35,134.332,205.939,117.349,2.445
7.098,1.432,0.363,1.527,14.448,299.041,20.698,132352,4.957,0.959,1.245,8.483,35.092,102.622,1.041,1.261,20.749,3,404.205,214.526,421.831,5.95,2.669,2.61,1141.578,589.678,39270.64,9.892,32.034,5.481,120.053,126.414,182.127,101.27,2.415
3.484,1.98,0.713,0.999,13.33,557.761,41.843,184234,1.759,0.587,0.989,8.007,27.938,148.788,0.457,1.914,26.662,1,340.937,264.119,344.614,1.827,1.491,1.319,1202.081,532.102,41161.147,10.814,33.939,6.55,115.116,125.619,171.715,78.163,2.673
4.703,1.068,0.408,2.038,15.613,474.373,30.383,192145,4.406,0.899,0.408,6.502,29.341,144.727,0.897,1.032,28.822,2,387.521,216.025,404.408,3.987,2.457,2.158,1111.57,221.495,39357.79,9.232,30.135,6.308,108.856,131.714,173.484,89.944,2.565
2.775,1.519,0.784,1.854,17.932,517.429,28.855,175694,1.827,0.623,1.368,6.714,30.172,132.351,0.55,1.43,31.791,1,348.287,261.647,355.056,1.488,1.55,1.274,1284.466,780.735,42646.218,10.958,34.596,7.948,120.291,119.428,183.627,86.289,2.971
7.724,1.179,0.788,1.03,13.132,391.052,29.778,150365,6.55,1.168,1.459,7.992,40.682,197.691,1.266,1.079,28.672,5,426.41,172.132,460.391,6.926,3.326,3.257,1272.942,826.104,44384.827,11.122,34.745,4.961,127.91,135.356,195.853,119.061,2.216
5.637,1.971,0.361,2.147,15.693,309.994,19.753,223962,2.86,0.728,0.543,8.593,28.9,88.91,0.864,1.915,26.363,1,360.9,243.008,376.356,4.05,2.018,1.701,1243.25,288.608,39053.393,10.809,33.305,6.88,114.758,122.523,180.843,80.513,3.062
3.372,1.113,0.225,2.423,19.443,133.973,6.891,128763,3.029,0.82,1.146,8.204,30.481,71.284,0.913,1.023,17.69,1,362.508,238.639,382.772,2.556,1.863,1.803,1130.725,546.782,36909.83,10.124,30.668,7.715,113.426,129.103,171.718,87.115,3.546
6.03,1.404,0.623,2.488,18.075,620.997,34.356,43442,4.296,0.888,1.31,7.456,31.984,190.53,1.002,1.265,29.209,2,393.474,215.798,411.533,4.637,2.137,2.334,924.832,530.009,36446.981,7.83,23.408,6.97,109.488,131.579,170.503,102.82,3.002
5.709,1.738,0.471,2.792,13.112,622.265,47.458,215802,3.285,0.823,0.948,2.714,31.165,194.82,0.987,1.643,25.033,1,362.142,233.41,386.962,4.578,2.163,1.869,1272.002,532.149,41454.598,10.29,34.597,5.365,123.58,122.571,191.623,88.968,2.315
4.149,1.705,0.26,1.701,15.737,569.508,36.19,178275,2.434,0.721,0.688,3.317,29.885,136.047,0.661,1.618,29.34,1,357.089,255.976,367.487,2.926,1.661,1.325,1125.487,355.314,38276.739,8.623,28.503,5.756,113.493,126.258,175.588,77.978,2.742
2.681,1.423,0.625,2.897,10.125,550.544,54.375,216836,1.885,0.636,0.874,3.862,30.092,159.183,0.563,1.335,29.443,1,341.567,258.833,345.484,1.858,1.602,1.145,1311.385,489.513,37829.633,10.083,32.795,4.392,116.512,127.432,185.374,77.319,1.886
6.029,1.347,0.219,2.704,14.726,270.602,18.375,60480,4.478,0.908,0.915,11.116,32.802,128.147,0.898,1.23,21.497,2,385.31,218.48,407.225,4.979,2.152,2.291,849.67,400.854,32164.749,7.737,26.178,5.707,103.696,123.417,162.593,96.471,2.615
5.122,1.398,0.722,1.452,19.776,115.641,5.848,36765,3.665,0.896,0.781,9.353,30.197,66.778,1.056,1.301,16.147,2,371.018,230.502,389.064,3.747,1.833,2.1,723.799,282.107,29843.283,6.407,20.335,4.435,99.271,133.162,157.787,89.422,3.576
6.634,1.264,0.283,1.15,14.22,666.101,46.843,235562,5.247,1.074,1.416,7.082,35.703,226.102,1.199,1.083,36.678,3,407.26,206.799,428.515,5.77,3.085,2.643,1522.118,964.55,48489.027,12.601,42.818,8.23,137.015,125.895,211.374,106.631,2.453
5.121,1.205,0.276,1.758,19.132,443.797,23.197,62500,4.249,0.933,1.193,3.773,35.437,133.874,1.066,1.107,28.723,2,388.378,220.254,406.72,4.203,2.105,2.398,949.312,504.722,37614.458,7.08,23.382,5.578,106.162,127.178,161.654,96.988,3.672
7.113,1.483,0.305,1.684,12.888,314.787,24.425,208123,4.796,0.984,0.59,2.22,29.871,126.834,1.227,1.354,27.743,3,397.501,212.155,406.389,6.035,2.62,2.501,1207.814,307.567,38791.555,9.368,31.38,5.664,116.368,133.952,184.526,100.388,2.294
5.311,1.269,0.776,2.067,19.986,171.352,8.574,211106,4.187,0.879,1.003,10.886,31.626,100.146,1.116,1.151,16.939,2,385.675,219.451,407.836,4.532,2.649,2.116,1297.45,599.228,42127.79,11.828,38.146,9.125,125.706,123.633,192.561,97.001,3.442
5.366,1.287,0.616,2.083,14.951,143.905,9.625,185915,4.168,0.924,1.126,10.819,34.793,78.386,1.048,1.178,17.17,2,377.597,223.872,403.134,4.4,2.535,2.283,1286.426,616.123,42048.241,11.511,37.44,6.382,121.896,125.076,189.434,96.867,2.869
7.26,1.657,0.681,2.45,8.507,344.207,40.461,58877,4.382,0.933,0.468,2.218,32.825,111.701,1.103,1.536,27.949,2,378.639,218.028,402.826,5.673,1.982,2.365,783.426,136.153,34680.61,4.813,18.299,2.692,97.761,133.968,153.224,92.048,1.635
4.421,1.969,0.439,1.922,15.041,663.316,44.1,176827,2.246,0.693,0.73,9.769,28.848,159.997,0.635,1.825,31.212,1,358.755,259.977,358.374,2.872,1.635,1.317,1153.852,392.212,38285.761,10.176,33.167,5.674,112.718,130.449,171.635,79.803,2.504
2.804,1.604,0.402,1.031,11.295,743.107,65.792,225599,1.749,0.589,1.387,5.913,29.796,209.917,0.709,1.49,31.228,1,345.883,260.317,357.338,1.494,1.676,1.23,1418.327,827.765,44682.73,12.887,40.378,4.799,127.724,118.511,194.906,82.067,1.203
2.173,0.937,0.341,2.688,8.39,727.726,86.74,123616,2.319,0.698,0.981,4.564,27.653,208.009,0.703,0.799,31.486,1,355.357,253.534,352.949,1.546,1.48,1.698,1028.124,439.508,36118.014,8.194,28.203,2.863,114.645,116.536,176.613,79.172,1.589
6.531,1.076,0.488,1.481,17.85,744.001,41.68,120973,6.072,1.065,0.56,9.13,34.069,247.036,1.309,0.989,34.825,4,413.665,189.894,442.107,5.739,2.996,2.997,975.174,284.136,33873.259,8.458,26.688,5.634,106.472,139.319,168.008,103.166,3.109
5.722,1.951,0.531,2.937,11.309,735.408,65.03,127428,2.932,0.742,0.447,7.758,31.334,183.898,0.764,1.84,36.363,1,353.234,244.715,368.775,3.983,1.715,1.606,971.055,185.165,35890.622,7.951,25.04,3.973,101.62,128.854,158.895,80.528,2.031
6.224,1.297,0.579,1.059,17.559,469.057,26.714,48099,4.798,0.95,0.922,9.58,38.22,162.261,1.209,1.229,27.046,3,393.659,208.627,418.247,5.025,2.368,2.472,833.664,315.985,33751.481,7.44,22.668,4.98,102.314,128.598,153.173,99.43,3.369
3.278,1.092,0.354,2.908,11.459,253.591,22.131,226245,3.001,0.744,0.957,1.818,31.532,56.973,0.819,0.994,23.688,1,364.112,241.718,372.801,2.653,2.046,1.774,1350.749,599.578,42490.671,9.866,34.175,6.199,127.751,122.919,205.825,83.834,1.843
2.818,1.599,0.769,1,10.332,658.633,63.747,221220,1.762,0.6,0.701,4.504,27.902,167.607,0.647,1.525,32.267,1,336.896,264.488,348.844,1.681,1.461,1.218,1251.602,388.191,40435.91,10.284,33.764,4.366,120.54,124.376,188.358,80.713,1.614
2.087,1.308,0.302,1.308,19.687,249.599,12.678,249540,1.596,0.585,1.056,4.512,27.408,93.797,0.59,1.16,17.946,1,346.96,262.926,352.975,1.333,1.533,0.986,1432.275,687.456,42413.077,10.902,39.226,10.007,129.424,112.814,198.912,83.653,3.233
4.104,1.649,0.779,0.902,12.34,287.045,23.262,158740,2.489,0.718,0.382,4.627,24.386,60.103,0.729,1.58,19.41,1,346.166,251.335,360.111,2.707,1.587,1.264,1002.076,201.727,37661.34,7.334,26.584,3.747,107.155,125.887,165.48,77.903,2.65
5.54,1.267,0.209,2.351,15.217,263.278,17.302,195262,4.371,0.948,0.474,6.527,31.625,108.298,1.16,1.17,21.023,2,379.196,219.927,398.978,4.878,2.457,2.199,1158.195,280.22,36847.142,9.086,32.671,5.955,110.688,130.06,170.598,91.336,2.963
4.353,1.015,0.489,2.671,15.32,460.488,30.058,74587,4.289,0.949,0.956,4.113,37.908,180.505,1.11,0.862,23.297,2,389.986,217.428,403.123,3.471,2.008,2.325,935.116,412.574,38113.811,6.869,21.637,4.558,106.186,127.621,163.099,95.357,2.863
4.625,1.965,0.4,1.755,14.726,325.279,22.089,176856,2.354,0.679,0.374,5.888,30.19,102.234,0.623,1.898,21.307,1,349.835,255.942,358.574,3.003,1.568,1.373,1054.766,193.602,36362.119,8.486,26.684,6.029,103.797,128.703,165.549,77.122,2.254
7.425,1.251,0.469,2.843,18.976,207.909,10.956,172941,5.936,1.081,1.357,5.046,38.636,122.233,1.232,1.098,26.063,4,420.534,188.243,449.15,6.676,3.118,2.942,1304.921,809.981,43806.421,11.183,35.288,8.288,131.246,131.775,212.937,112.601,3.09
4.09,1.676,0.542,2.099,16.093,417.221,25.925,228265,2.44,0.69,0.471,9.088,28.652,113.919,0.727,1.596,25.096,1,346.217,251.828,360.753,2.724,1.834,1.405,1233.472,288.293,40542.568,10.935,35.505,6.623,121.147,129.616,185.727,80.231,3.023
5.084,1.707,0.461,2.186,12.845,711.735,55.41,212774,2.979,0.793,1.109,7.639,32.672,186.527,0.923,1.6,30.667,1,357.105,242.55,378.691,3.958,2.114,1.792,1336.389,635.332,42843.152,11.639,37.334,6.157,127.045,115.911,195.09,90.985,2.359
6.702,1.61,0.449,2.66,18.349,499.387,27.217,236462,4.163,0.887,0.769,8.19,26.875,163.842,1.144,1.494,33.78,2,387.505,223.714,401.624,5.572,2.478,2.148,1321.041,470.288,43443.393,11.303,36.795,8.127,127.898,129.376,197.881,91.671,3.225
4.379,1.313,0.64,1.453,10.173,714.835,70.27,221143,3.336,0.782,0.78,3.316,32.026,216.941,0.718,1.227,30.206,2,371.311,235.321,382.479,3.466,2.102,1.812,1307.602,440.111,42212.118,9.877,32.19,5.36,121.327,126.789,182.55,86.33,1.537
5.733,1.271,0.612,1.579,14.531,237.111,16.318,221112,4.51,0.965,1.218,4.581,33.291,123.48,1.113,1.143,18.901,2,391.597,208.202,412.309,4.814,2.722,2.415,1376.034,729.801,45612.492,10.926,36.45,7.977,130.983,122.649,205.136,103.123,2.79
7.174,1.598,0.7,2.793,19.407,216.882,11.176,44019,4.49,0.996,0.899,1.233,32.143,91.421,1.18,1.496,25.094,2,390.059,209.397,412.611,5.563,2.021,2.468,836.453,365.013,35426.048,4.577,18.483,5.233,101.679,129.924,158.35,98.614,3.825
7.697,1.866,0.35,2.782,15.505,502.904,32.435,216111,4.125,0.924,1.171,2.192,33.124,165.989,1.072,1.729,30.252,2,385.046,219.703,406.034,6.236,2.411,2.302,1351.137,680.871,43840.141,10.102,35.26,7.755,129.934,128.266,201.995,95.696,2.843
2.882,1.732,0.566,2.948,17.804,424.33,23.834,163645,1.664,0.597,0.906,3.916,28.074,89.371,0.658,1.616,24.606,1,345.529,266.892,352.645,1.5,1.29,1.072,1142.068,459.272,39856.735,9.486,29.595,6.694,115.851,121.94,172.158,76.608,3.026
7.56,1.106,0.551,2.784,15.843,562.121,35.481,113697,6.836,1.197,1.011,1.72,34.973,236.273,1.531,0.948,33.336,5,429.004,174.221,466.988,6.731,3.245,3.489,1075.549,508.312,39905.868,7.265,23.376,5.786,119.374,139.203,175.982,114.679,3.126
4.953,1.155,0.422,1.08,18.072,656.239,36.312,42433,4.289,0.932,1.213,7.629,34.059,222.459,0.986,1.075,33.034,2,386.845,224.44,410.015,3.904,2.09,2.262,885.765,475.334,37433.143,7.361,24.34,5.948,108.414,120.363,166.571,99.502,3.25
3.549,1.945,0.492,2.612,19.334,625.915,32.374,179088,1.825,0.621,1.029,11.979,28.453,167.633,0.53,1.883,26.574,1,340.274,260.171,354.88,1.922,1.534,1.122,1153.526,538.154,38857.526,11.893,35.622,7.876,118.057,117.886,185.634,79.978,3.775
4.755,1.737,0.388,1.702,11.275,759.583,67.368,102204,2.738,0.769,1.039,2.109,31.581,195.734,0.837,1.67,26.872,1,360.914,251.536,368.874,3.33,1.582,1.664,983.926,445.177,38281.976,6.359,26.722,3.966,110.004,118.634,163.394,88.43,1.927
7.88,1.883,0.285,2.98,10.036,378.779,37.742,132910,4.185,0.895,1.247,10.034,30.757,141.888,1.102,1.8,23.348,2,388.024,216.577,406.723,6.477,2.392,2.296,1107.058,634.739,38914.639,10.213,32.326,4.438,117.445,126.857,185.622,99.551,2.181
4.956,1.203,0.328,1.839,13.808,244.471,17.705,179980,4.121,0.899,1.439,2.307,34.11,91.787,1.034,1.059,24.961,2,389.362,223.254,409.293,4.233,2.332,2.336,1325.772,835.932,42100.361,9.965,35.421,6.953,130.924,123.72,201.718,101.273,2.353
3.973,1.588,0.263,2.018,16.422,485.639,29.572,230590,2.502,0.692,0.752,8.369,27.122,150.051,0.595,1.511,25.624,1,349.038,253.589,357.743,2.817,1.913,1.401,1302.536,439.972,39830.098,11.404,36.314,7.512,113.828,122.247,173.118,80.027,2.801
5.8,1.701,0.61,1.966,10.726,177.52,16.55,211596,3.41,0.827,0.993,8.075,30.611,69.818,0.825,1.598,21.126,2,377.24,234.471,388.642,4.563,2.174,2.022,1303.434,549.834,42010.17,11.57,35.118,4.576,118.164,139.537,183.487,91.114,2.067
3.441,1.68,0.596,1.508,8.049,302.196,37.543,129131,2.048,0.669,0.404,10.93,27.926,59.252,0.727,1.63,22.783,1,339.083,257.436,346.061,2.064,1.477,1.395,927.942,174.811,34417.946,8.671,26.775,2.615,99.144,122.628,148.482,74.121,1.422
2.455,1.408,0.77,0.965,12.115,245.522,20.266,115312,1.744,0.585,0.731,2.253,24.734,56.507,0.542,1.323,15.398,1,343.44,262.807,343.726,1.406,1.226,1.15,973.121,323.936,35245.028,7.608,24.336,3.622,100.187,121.639,145.136,75.012,2.236
2.773,1.015,0.638,2.77,19.626,377.595,19.239,82751,2.731,0.734,0.794,4.47,28.345,117.324,0.786,0.928,23.158,1,369.663,242.03,367.503,1.896,1.489,1.638,871.6,342.142,34852.369,7.06,22.894,6.38,106.301,127.589,169.591,81.351,3.305
2.768,1.34,0.231,2.566,16.34,177.852,10.885,111933,2.066,0.67,1.302,1.999,32.389,50.949,0.759,1.236,20.204,1,346.723,263.552,360.964,1.575,1.402,1.258,1109.249,622.128,38075.506,8.393,27.182,6.25,113.587,121.118,175.865,87.645,2.702
2.911,1.253,0.731,1.107,12.816,122.289,9.542,54430,2.323,0.687,0.916,5.481,27.082,30.147,0.61,1.177,15.444,1,352.351,253.084,356.795,1.858,1.247,1.424,846.661,375.314,35701.518,7.63,23.153,3.245,103.896,125.594,158.153,85.816,2.203
2.833,1.45,0.718,2.509,10.311,559.756,54.288,243643,1.953,0.631,1.177,11.028,33.839,138.465,0.595,1.372,27.431,1,346.408,260.184,360.529,1.903,1.812,1.282,1410.177,700.473,46015.874,12.409,42.346,5.76,131.917,120.938,202.159,83.29,1.892
5.845,1.958,0.466,2.177,12.273,527.174,42.954,156261,2.986,0.806,0.323,9.597,31.368,141.171,0.821,1.883,29.577,1,365.099,241.688,370.274,4.111,1.817,1.598,998.522,171.931,36755.617,9.505,28.009,4.282,104.414,130.266,158.742,82.645,2.044
3.091,1.399,0.552,1.7,10.038,595.851,59.359,58117,2.21,0.668,0.857,8.952,28.46,155.718,0.709,1.315,29.787,1,347.224,254.831,366.599,1.865,1.294,1.343,838.824,312.785,34816.888,8.063,22.17,2.573,101.408,123.233,155.771,81.215,1.995
4.074,1.84,0.786,1.359,9.276,562.271,60.618,107617,2.214,0.682,1.382,6.863,30.133,140.684,0.756,1.737,31.925,1,354.669,255.43,366.495,2.596,1.481,1.456,1068.568,682.519,37247.714,9.395,28.258,4.041,119.644,116.777,184.999,84.306,1.607
7.381,1.189,0.519,2.691,18.881,180.006,9.534,150348,6.21,1.075,0.569,10.718,33.58,136.761,1.202,1.129,21.951,4,418.378,188.836,445.731,6.437,3.164,2.912,1074.108,328.484,38813.506,9.057,30.063,7.727,114.184,134.726,179.735,105.9,3.723
4.844,1.672,0.743,2.34,19.972,303.755,15.209,147234,2.896,0.741,0.338,5.944,25.351,80.835,0.793,1.548,19.691,1,355.108,237.742,364.355,3.394,1.725,1.554,1000.361,175.023,36407.778,7.37,27.034,6.049,96.431,124.261,146.685,78.648,3.374
6.005,1.977,0.25,2.005,9.969,190.669,19.125,37810,3.038,0.777,0.82,2.647,26.598,71.047,0.907,1.853,18.441,1,365.9,238.992,371.941,4.106,1.473,1.671,785.246,284.279,33678.847,5.262,18.923,3.294,97.384,129.893,146.715,87.056,1.838
3.034,1.102,0.315,2.141,8.654,690.081,79.739,239185,2.753,0.746,1.145,10.213,30.618,198.856,0.642,1.017,32.298,1,361.387,248.721,376.795,2.465,2.172,1.755,1435.278,678.613,46053.505,13.368,40.698,4.426,129.811,127.642,199.064,91.159,1.615
3.154,1.008,0.464,1,11.957,622.833,52.09,90582,3.128,0.833,0.845,4.076,31.108,198.006,0.894,0.916,34.918,1,366.68,238.989,374.581,2.321,1.585,1.856,992.584,391.026,36982.702,6.088,23.006,4.64,106.728,125.876,175.285,86.025,2.181
2.245,1.03,0.551,1.843,13.54,241.069,17.804,33560,2.18,0.696,0.852,1.59,29.945,82.519,0.609,0.948,19.389,1,348.615,256.725,360.752,1.373,1.195,1.43,735.578,292.749,31981.226,5.923,16.206,3.452,94.733,123.745,147.464,81.259,2.402
3.014,1.093,0.69,1.226,10.458,338.916,32.408,46817,2.758,0.774,1.104,2.386,30.469,113.676,0.766,1.007,18.37,1,358.266,244.764,380.75,2.035,1.394,1.784,871.372,452.482,36255.085,6.254,20.878,3.379,99.646,130.777,156.051,89.274,2.019
3.672,1.748,0.793,1.258,11.617,776.63,66.852,157642,2.1,0.64,0.605,7.7,30.65,211.279,0.446,1.679,35.298,1,342.776,257.723,357.245,2.319,1.497,1.226,1036.101,249.133,35514.887,9.419,28.05,4.061,109.327,128.848,168.437,79.671,1.826
3.062,1.915,0.433,2.255,10.41,515.912,49.557,60312,1.599,0.596,1.202,7.678,26.965,113.47,0.684,1.802,25.013,1,343.033,266.886,351.895,1.21,1.147,1.215,950.319,504.247,36558.403,7.511,23.375,3.959,103.494,121.811,167.349,82.594,1.894
2.532,1.377,0.228,2.805,17.291,660.809,38.217,39179,1.839,0.622,0.484,3.862,25.121,152.01,0.584,1.326,27.152,1,340.151,261.44,347.348,1.136,1,1.252,708.362,176.407,29469.154,5.128,12.009,3.951,90.468,125.863,143.664,71.45,2.901
2.724,1.259,0.681,1.688,16.551,285.214,17.232,113517,2.164,0.655,0.775,8.999,29.931,64.154,0.6,1.176,21.806,1,351.681,253.233,355.37,1.665,1.461,1.284,963.659,314.003,35141.215,8.71,25.736,6.095,105.863,120.936,159.925,77.214,2.84
4.765,1.434,0.563,1.257,15.619,247.037,15.816,167007,3.322,0.837,1.087,9.51,30.066,99.201,0.94,1.311,24.441,2,378.1,235.227,385.666,3.557,2.165,1.782,1201.801,580.974,37672.184,11.011,33.242,6.659,119.163,124.342,185.333,92.828,2.833
3.238,1.723,0.319,2.227,12.647,648.742,51.298,54604,1.879,0.587,1.294,11.126,27.819,168.798,0.497,1.645,28.845,1,344.674,259.864,354.6,1.657,1.229,1.246,949.528,518.438,35358.672,8.571,25.174,4.581,104.094,118.198,159.798,82.911,2.427
4.186,1.009,0.497,2.717,18.908,580.111,30.68,98932,4.148,0.884,1.25,7.434,33.855,201.325,0.918,0.908,31.529,2,387.703,221.249,400.994,3.213,2.263,2.372,1064.064,568.87,38526.688,8.88,26.453,6.537,114.73,128.278,179.476,97.067,3.091
5.021,1.589,0.645,2.446,19.634,576.685,29.371,121907,3.159,0.826,1.166,9.574,30.471,184.474,1.015,1.483,31.767,1,367.742,238.164,383.624,3.639,1.85,1.817,1109.012,558.765,38923.223,9.375,29.146,7.833,113.897,121.58,180.527,93.479,3.829
6.142,1.613,0.662,2.711,10.084,486.844,48.28,65081,3.807,0.891,0.731,9.284,31.348,150.596,1.141,1.564,30.11,2,371.412,225.096,396.964,4.636,1.966,2.051,876.241,293.519,33847.195,7.602,23.682,3.359,106.624,135.862,160.374,89.683,1.994
2.236,1.638,0.5,1.98,10.676,494.505,46.319,141336,1.365,0.519,0.447,3.836,24.611,119.63,0.434,1.618,24.24,1,331.301,272.055,330.242,0.797,1.109,0.859,994.237,235.681,33550.344,7.831,24.347,4.642,101.866,127.616,159.328,73.179,1.917
6.796,1.242,0.383,2.454,14.308,614.988,42.983,48747,5.472,1.053,0.56,4.412,31.15,222.497,1.341,1.165,28.222,3,407.211,193.594,432.702,5.627,2.526,2.738,795.38,215.942,32489.118,5.503,15.925,4.332,106.265,140.276,161.482,99.146,2.345
5.767,1.714,0.784,1.108,9.095,289.002,31.776,40234,3.365,0.859,1.338,6.263,29.453,96.666,0.967,1.669,19.706,2,369.636,230.301,394.947,4.134,1.756,1.936,905.978,517.963,37762.933,6.457,21.424,2.59,105.26,131.079,168.819,93.113,1.903
2.491,1.091,0.598,1.566,13.237,346.938,26.209,144363,2.282,0.689,1.329,1.209,31.859,87.719,0.592,0.979,25.801,1,352.866,250.712,367.738,1.789,1.534,1.401,1142.8,682.219,39905.934,9.54,28.48,4.98,118.604,122.584,187.702,86.791,2.435
7.241,1.199,0.445,1.657,14.981,710.146,47.402,84537,6.038,1.095,1.442,4.271,34.407,275.106,1.256,1.04,36.134,4,421.219,190.392,451.764,6.128,2.89,3.104,1071.659,712.982,41994.582,8.505,26.111,6,118.319,132.397,175.435,116.087,2.746
7.525,1.877,0.368,1.925,14.265,316.206,22.167,50982,4.008,0.867,0.391,6.213,29.629,119.303,1.108,1.818,20.501,2,370.025,231.825,392.129,5.778,1.88,2.058,717.525,168.709,32275.479,4.358,18.091,3.312,91.229,133.077,136.898,88.337,2.42
